STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,MONTH,MLY-DUTR-NORMAL,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH032
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,1,19.7,0.88,29.1,38.9,19.2,5,0,0,0,0,7.2,26.5
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,2,20.8,1,30.6,41,20.2,3,0,0,0,0,4.2,26.7
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,3,20.3,2.63,36.2,46.3,26,28,3,0,0,0,3,22.8
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,4,20.2,3.37,41.2,51.3,31.1,53,5,0,0,0,1,16.9
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,5,22.3,2.65,50.4,61.5,39.2,197,43,5,0,0,0.3,3.8
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,6,22,2.21,59.3,70.3,48.3,277,153,10,0,0,0,0
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,7,21.3,1.87,66.4,77,55.7,305,278,105,0.3,0,0,0
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,8,21.6,2.22,64.3,75.1,53.5,304,259,57,0,0,0,0
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,9,22.9,1.42,57,68.4,45.5,246,140,30,0,0,0,1.2
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,10,21.7,1.75,46.4,57.3,35.6,130,43,0,0,0,0.2,9.7
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,11,20.7,1.28,36.2,46.5,25.8,27,0,0,0,0,2.3,23.2
USC00053387,"GOLDEN 3 SW, CO US",39.7197,-105.2471,2272.3,12,21.8,1.49,29.3,40.2,18.4,18,0,0,0,0,7.5,26.9
